Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	LIVER	LUNG	1	1	4	0	8	3
2	NOSE	NOSTRIL	1	1	37	0	2	0
3	FOREST	HUNT	1	1	7	0	2	0
4	TREE	MUSHROOM	1	1	4	0	4	0
5	SUN	DAY (NOT NIGHT)	-1	-1	6	8	5	24
6	SUN	SUNDAY	1	1	9	0	4	0
7	MOON	MONTH	0	1	5	5	6	0
8	HUSBAND	MARRY	1	-1	12	3	1	2
9	FATHER	PARENTS	1	1	21	0	6	0
10	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	3	0
11	FATHER	ANCESTORS	1	1	8	0	5	0
12	ANIMAL	FUR	1	-1	5	0	0	2
13	SNAKE	FRESHWATER EEL	1	1	7	0	3	0
14	FROG	TURTLE	1	1	4	0	4	1
15	BLOOD	RED	1	1	8	0	4	2
16	EYE	SUN	1	1	4	0	2	0
17	EAR	MUSHROOM	1	1	6	2	2	0
18	SHOULDER	SHOULDERBLADE	1	1	17	0	3	0
19	WING	BAT	1	1	4	0	2	0
20	HEART	BRAVE	1	1	6	0	4	0
21	SLEEP	BED	1	1	10	0	2	0
22	PREGNANT	HEAVY	-1	-1	0	4	0	3
23	FEVER	HOT	-1	-1	3	9	0	2
24	COMMON COLD (DISEASE)	COLD	-1	-1	2	8	0	2
25	BRUISE	BLUE	-1	-1	0	5	0	2
26	POTATO	SWEET POTATO	-1	-1	4	6	0	4
27	HOUSE	HUSBAND	1	1	5	0	2	0
28	DOOR	WINDOW	1	1	10	0	2	0
29	PLANT (VEGETATION)	PLANT (SOMETHING)	-1	-1	4	6	0	7
30	SELL	GIVE	-1	-1	0	4	0	2
31	SILVER	MONEY	-1	-1	3	7	2	6
32	SAIL	SAILCLOTH	-1	-1	2	5	0	3
33	JUMP	DANCE	1	1	5	0	3	0
34	SHIP	SAIL	1	1	8	0	3	0
35	OAR	ROW	-1	1	5	6	2	0
36	BIG	THUMB	1	1	17	0	4	0
37	THIRD	WEDNESDAY	1	1	4	0	6	0
38	DAY (NOT NIGHT)	TODAY	1	1	23	0	3	0
39	MORNING	TOMORROW	-1	1	4	5	5	2
40	HOUR	CLOCK	-1	1	5	6	2	0
41	WHITE	SILVER	1	1	7	0	4	0
42	GOOD	BEAUTIFUL	1	1	20	3	2	0
