Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	12	2	8	0
2	SUN	CLOCK	1	1	10	0	7	0
3	LIVER	LUNG	1	1	4	0	3	0
4	CLOUD	SKY	-1	1	2	14	2	1
5	BONE	NEEDLE (FOR SEWING)	1	1	2	0	2	0
6	LAND	FLOOR	1	1	6	4	2	0
7	LAND	BOTTOM	1	1	4	0	2	0
8	EARTH (SOIL)	COUNTRY	1	1	5	2	12	0
9	NOSE	CAPE	1	1	5	0	4	0
10	NOSE	NOSTRIL	1	1	37	0	4	0
11	NOSE	BEAK	1	1	4	0	4	0
12	SAP	MILK	0	-1	3	3	0	3
13	SIDE	WING	1	-1	2	0	0	3
14	TREE	PLANT (VEGETATION)	-1	1	5	6	6	0
15	SKY	WEATHER	1	1	5	2	2	0
16	SUN	TIME	1	1	2	0	9	1
17	SUN	DAY (NOT NIGHT)	-1	1	6	8	10	5
18	SUN	SUNDAY	1	1	9	0	3	0
19	MOON	MONTH	0	1	5	5	71	0
20	RAINBOW	BOW	-1	-1	0	5	0	3
21	SHADE	GHOST	1	1	4	2	2	0
22	WEATHER	TIME	-1	-1	0	4	0	3
23	GLASS	MIRROR	1	1	4	2	3	2
24	FIRE	SHOOT	1	1	3	0	4	0
25	FIRE	HELL	1	1	15	0	2	0
26	LIGHT (IGNITE)	SHOOT	-1	1	0	3	2	0
27	WOMAN	COW	1	-1	8	0	0	3
28	WOMAN	WIFE	1	1	10	9	5	3
29	WIFE	OLD WOMAN	1	-1	10	0	0	4
30	MALE (OF ANIMAL)	FATHER	-1	-1	0	5	0	4
31	HUSBAND	OLD MAN	1	-1	8	2	0	15
32	HUSBAND	MARRY	1	-1	12	3	0	3
33	MARRY	TAKE	-1	-1	0	8	0	2
34	FATHER	PARENTS	1	1	21	0	3	0
35	FATHER	TEACHER	1	-1	2	0	1	2
36	FATHER	OLD MAN	1	-1	8	0	0	4
37	FATHER	GOD	1	1	6	0	4	0
38	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	2	0
39	FATHER	ANCESTORS	1	1	8	0	8	0
40	MOTHER	OLD WOMAN	1	1	6	0	2	0
41	GRANDFATHER	OLD MAN	1	1	4	3	4	0
42	GRANDFATHER	ANCESTORS	1	1	17	2	5	0
43	OLD MAN	ANCESTORS	1	1	3	0	2	0
44	GRANDMOTHER	OLD WOMAN	-1	1	7	8	3	0
45	FAMILY	HOUSE	-1	-1	0	12	0	3
46	I	SERVANT	1	-1	2	0	0	3
47	ANIMAL	MEAT	0	-1	3	3	0	5
48	FIN	WING	-1	-1	5	12	0	4
49	TAIL	END (OF SPACE)	1	1	2	0	2	1
50	BACK	SHOULDER	1	-1	2	0	0	2
51	BACK	BEHIND	1	1	12	2	2	0
52	HEAD	MIND	1	1	6	0	4	0
53	HEAD	ROOF	1	1	5	0	2	0
54	HEAD	PUMPKIN	1	-1	2	0	0	2
55	BRAIN	MIND	0	1	3	3	3	0
56	MOUTH	SPEECH	1	1	2	0	4	0
57	MOUTH	LANGUAGE	-1	1	2	3	3	0
58	MOUTH	HOLE	1	1	3	0	7	0
59	TONGUE	KEY	1	1	2	0	2	0
60	FOOTPRINT	ROAD	-1	1	0	3	3	0
61	HEART	BRAVE	1	1	6	0	2	0
62	HEART	MIND	1	1	4	3	4	0
63	STOMACH	MIND	1	1	2	0	2	0
64	INTESTINES	SAUSAGE	1	1	6	3	3	0
65	BUTTOCKS	BOTTOM	-1	-1	0	4	1	2
66	SLEEP	COPULATE	1	1	2	0	3	0
67	BE BORN	GO OUT	1	-1	2	0	0	5
68	PREGNANT	HEAVY	-1	-1	0	4	0	6
69	PREGNANT	CARRY	-1	-1	0	3	0	3
70	SEIZE	UNDERSTAND	1	1	2	0	7	0
71	SEEM	SEE	-1	-1	0	4	0	2
72	BURY	HIDE (CONCEAL)	1	-1	2	0	1	3
73	FEVER	HOT	-1	-1	3	9	0	3
74	BRUISE	BLUE	-1	-1	0	5	0	3
75	RAW	WET	1	-1	2	0	0	2
76	UNRIPE	GREEN	1	-1	4	3	0	6
77	POTATO	SWEET POTATO	-1	-1	4	6	0	2
78	DRAW MILK	PULL	-1	-1	0	2	0	2
79	RING	CIRCLE	-1	-1	0	3	0	2
80	IRON	WEAPONS	1	1	2	0	3	0
81	DWELL (LIVE, RESIDE)	SIT	1	-1	4	2	0	6
82	HOUSE	WIFE	1	1	3	0	2	0
83	ARCH	BOW	-1	1	0	3	2	1
84	SOW SEEDS	THROW	-1	-1	0	3	0	3
85	PLANT (VEGETATION)	GREEN	1	-1	2	0	0	4
