Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	BEAK	MOUTH	-1	-1	0	10	0	1
2	EGG	TESTICLES	1	1	12	2	8	0
3	SUN	CLOCK	1	1	10	0	7	0
4	CLOUD	SKY	-1	1	2	14	2	1
5	EYELASH	EYELID	-1	1	2	7	1	0
6	LAND	FLOOR	1	1	6	4	2	0
7	EARTH (SOIL)	COUNTRY	1	1	5	2	12	0
8	NOSE	CAPE	1	1	5	0	4	0
9	NOSE	NOSTRIL	1	1	37	0	4	0
10	NOSE	BEAK	1	1	4	0	4	0
11	WATER	SOUP	1	1	10	0	1	0
12	SIDE	RIB	1	-1	8	0	0	1
13	TREE	WOOD	-1	1	10	13	1	0
14	TREE	PLANT (VEGETATION)	-1	1	5	6	6	0
15	SKY	WEATHER	1	1	5	2	2	0
16	SUN	LIGHT (RADIATION)	1	-1	6	0	0	1
17	SUN	DAY (NOT NIGHT)	-1	1	6	8	10	5
18	MOON	MONTH	0	1	5	5	71	0
19	RAINBOW	BOW	-1	-1	0	5	0	3
20	SHADE	GHOST	1	1	4	2	2	0
21	AIR	WEATHER	1	1	4	0	1	0
22	WEATHER	TIME	-1	-1	0	4	0	3
23	GLASS	MIRROR	1	1	4	2	3	2
24	FIRE	HELL	1	1	15	0	2	0
25	FIRE	FIREPLACE	1	0	25	0	1	1
26	WOMAN	WIFE	1	1	10	9	5	3
27	MALE (OF ANIMAL)	BULL	1	-1	21	0	0	1
28	MALE (OF ANIMAL)	FATHER	-1	-1	0	5	0	4
29	BOY	SON	-1	-1	6	16	0	1
30	GIRL	DAUGHTER	-1	-1	4	10	0	1
31	HUSBAND	OLD MAN	1	-1	8	2	0	15
32	HUSBAND	MARRY	1	-1	12	3	0	3
33	MARRY	TAKE	-1	-1	0	8	0	2
34	FATHER	PARENTS	1	1	21	0	3	0
35	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	2	0
36	MOTHER	OLD WOMAN	1	1	6	0	2	0
37	GRANDFATHER	OLD MAN	1	1	4	3	4	0
38	GRANDFATHER	ANCESTORS	1	1	17	2	5	0
39	GRANDMOTHER	OLD WOMAN	-1	1	7	8	3	0
