Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
118	MORNING	TOMORROW	-1	1	4	5	4	0
119	YEAR	SUMMER	1	-1	5	0	1	3
120	HOUR	CLOCK	-1	1	5	6	4	0
121	WEEK	SUNDAY	1	-1	11	2	0	6
122	WEEK	FRIDAY	1	-1	9	0	0	1
123	WEEK	SATURDAY	1	-1	9	0	0	1
124	SPRINGTIME	SUMMER	-1	1	2	5	1	0
125	BITTER	SOUR	1	-1	5	0	0	1
126	SEE	GUARD	1	1	4	0	1	0
127	WHITE	SILVER	1	1	7	0	1	0
128	LOVE	WANT	-1	1	3	5	3	1
129	GOOD	FRAGRANT	1	-1	12	0	0	1
130	GOOD	BAD	1	-1	14	0	0	1
131	GOOD	BEAUTIFUL	1	-1	20	3	0	4
132	READ	SING	1	-1	4	0	0	4
133	READ	SPEAK	-1	1	0	10	2	0
134	SPEAK	PROMISE	1	1	6	0	3	0
135	SPEECH	WORD	-1	-1	2	10	0	8
136	PAPER	BOOK	1	1	8	0	3	0
137	COUNTRY	PEOPLE	1	-1	5	0	0	1
138	BATTLE	ARMY	1	-1	4	0	0	1
139	ARROW	RAINBOW	1	1	4	0	1	0
