Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	12	2	8	0
2	SUN	CLOCK	1	1	10	0	7	0
3	LIVER	LUNG	1	1	4	0	3	0
4	CLOUD	SKY	-1	1	2	14	2	1
5	LAND	FLOOR	1	1	6	4	2	0
6	LAND	BOTTOM	1	1	4	0	2	0
7	EARTH (SOIL)	COUNTRY	1	1	5	2	12	0
8	NOSE	CAPE	1	1	5	0	4	0
9	NOSE	NOSTRIL	1	1	37	0	4	0
10	NOSE	BEAK	1	1	4	0	4	0
11	TREE	PLANT (VEGETATION)	-1	1	5	6	6	0
12	TREE	MUSHROOM	1	1	4	0	2	0
13	SKY	WEATHER	1	1	5	2	2	0
14	SUN	DAY (NOT NIGHT)	-1	1	6	8	10	5
15	SUN	SUNDAY	1	1	9	0	3	0
16	MOON	MONTH	0	1	5	5	71	0
17	RAINBOW	BOW	-1	-1	0	5	0	3
18	EDGE	LIP	1	-1	7	3	0	3
19	WEATHER	TIME	-1	-1	0	4	0	3
20	GLASS	MIRROR	1	1	4	2	3	2
21	FIRE	HELL	1	1	15	0	2	0
22	SMOKE (INHALE)	DRINK	-1	-1	0	4	0	7
23	PERSON	SERVANT	1	1	9	0	2	0
24	WOMAN	COW	1	-1	8	0	0	3
25	WOMAN	WIFE	1	1	10	9	5	3
26	WIFE	OLD WOMAN	1	-1	10	0	0	4
27	MALE (OF ANIMAL)	FATHER	-1	-1	0	5	0	4
28	HUSBAND	OLD MAN	1	-1	8	2	0	15
29	HUSBAND	MASTER	1	-1	4	0	0	2
30	HUSBAND	MARRY	1	-1	12	3	0	3
31	MARRY	TAKE	-1	-1	0	8	0	2
32	FATHER	PARENTS	1	1	21	0	3	0
33	FATHER	OLD MAN	1	-1	8	0	0	4
34	FATHER	GOD	1	1	6	0	4	0
35	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	2	0
36	FATHER	PRIEST	1	1	4	0	8	0
37	FATHER	ANCESTORS	1	1	8	0	8	0
38	MOTHER	OLD WOMAN	1	1	6	0	2	0
39	GRANDFATHER	OLD MAN	1	1	4	3	4	0
40	GRANDFATHER	ANCESTORS	1	1	17	2	5	0
41	GRANDMOTHER	OLD WOMAN	-1	1	7	8	3	0
42	FAMILY	HOUSE	-1	-1	0	12	0	3
43	FIN	WING	-1	-1	5	12	0	4
44	BACK	BEHIND	1	1	12	2	2	0
45	HEAD	MIND	1	1	6	0	4	0
46	HEAD	ROOF	1	1	5	0	2	0
47	HEAD	TOP	1	1	4	3	3	0
48	HEART	BRAVE	1	1	6	0	2	0
49	HEART	MIND	1	1	4	3	4	0
50	INTESTINES	SAUSAGE	1	1	6	3	3	0
51	BUTTOCKS	BOTTOM	-1	-1	0	4	1	2
52	RISE (MOVE UPWARDS)	GO UP (ASCEND)	-1	-1	9	10	0	3
53	RISE (MOVE UPWARDS)	GO OUT	1	-1	4	0	0	4
54	RISE (MOVE UPWARDS)	EAST	1	1	4	0	2	0
55	PREGNANT	HEAVY	-1	-1	0	4	0	6
56	SEEM	SEE	-1	-1	0	4	0	2
57	FEVER	HOT	-1	-1	3	9	0	3
58	COMMON COLD (DISEASE)	COLD	-1	-1	2	8	0	4
59	BRUISE	BLUE	-1	-1	0	5	0	3
60	UNRIPE	GREEN	1	-1	4	3	0	6
61	POTATO	SWEET POTATO	-1	-1	4	6	0	2
62	DRAW MILK	SQUEEZE	-1	-1	0	6	0	4
63	DWELL (LIVE, RESIDE)	SIT	1	-1	4	2	0	6
64	GRAIN	TESTICLES	1	1	6	0	3	0
65	UNTIE	LET GO OR SET FREE	-1	1	3	4	2	0
66	TOOL	WEAPONS	1	1	5	0	2	0
67	SILVER	MONEY	-1	1	3	7	17	6
68	THROW	SHOOT	1	1	4	0	6	0
69	JUMP	DANCE	1	1	5	0	4	0
70	LEAVE	DISAPPEAR	1	1	4	0	2	0
71	LEAVE	MARRY	1	1	4	0	3	0
72	LEAD (GUIDE)	RULE	1	1	4	0	3	0
73	FIND	SEE	-1	-1	0	6	0	5
74	AFTER	BEHIND	0	-1	9	9	0	2
75	PUT	BURY	1	1	4	0	2	0
76	BIG	THICK	1	-1	4	0	1	2
77	SMALL	YOUNG	1	1	4	2	3	0
78	LONG	TALL	1	1	4	2	2	0
79	LONG	FOR A LONG TIME	1	1	10	0	2	0
80	STRAIGHT	CORRECT (RIGHT)	1	1	4	3	5	0
81	EMPTY	NAKED	1	-1	5	0	0	2
82	EARLY	MORNING	-1	1	8	10	2	1
83	FAST	SOON	1	1	5	3	2	0
84	MORNING	TOMORROW	-1	1	4	5	4	0
85	YEAR	SUMMER	1	-1	5	0	1	3
86	HOUR	CLOCK	-1	1	5	6	4	0
87	WEEK	SUNDAY	1	-1	11	2	0	6
88	SMELL (STINK)	STINKING	-1	1	7	9	3	0
89	SMELL (PERCEIVE)	LISTEN	-1	-1	0	4	0	2
90	TASTE (SOMETHING)	TRY	-1	1	2	5	2	1
91	LOVE	WANT	-1	1	3	5	3	1
92	GOOD	BEAUTIFUL	1	-1	20	3	0	4
93	READ	SING	1	-1	4	0	0	4
94	READ	SPEAK	-1	1	0	10	2	0
95	SHOUT	CALL	1	1	6	4	3	0
96	SPEAK	PROMISE	1	1	6	0	3	0
97	SPEECH	WORD	-1	-1	2	10	0	8
98	ASK (INQUIRE)	ASK (REQUEST)	-1	-1	2	6	0	2
99	ASK (REQUEST)	PRAY	1	1	8	0	7	2
100	PAPER	BOOK	1	1	8	0	3	0
