Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	12	2	8	0
2	SUN	CLOCK	1	1	10	0	7	0
3	CLOUD	SKY	-1	1	2	14	2	1
4	LAND	FLOOR	1	1	6	4	2	0
5	EARTH (SOIL)	COUNTRY	1	1	5	2	12	0
6	NOSE	CAPE	1	1	5	0	4	0
7	NOSE	NOSTRIL	1	1	37	0	4	0
8	NOSE	BEAK	1	1	4	0	4	0
9	TREE	PLANT (VEGETATION)	-1	1	5	6	6	0
10	SKY	WEATHER	1	1	5	2	2	0
11	SUN	DAY (NOT NIGHT)	-1	1	6	8	10	5
12	MOON	MONTH	0	1	5	5	71	0
13	RAINBOW	BOW	-1	-1	0	5	0	3
14	EDGE	LIP	1	-1	7	3	0	3
15	WEATHER	TIME	-1	-1	0	4	0	3
16	GLASS	MIRROR	1	1	4	2	3	2
17	FIRE	HELL	1	1	15	0	2	0
18	SMOKE (INHALE)	DRINK	-1	-1	0	4	0	7
19	PERSON	SERVANT	1	1	9	0	2	0
20	WOMAN	WIFE	1	1	10	9	5	3
21	MALE (OF ANIMAL)	FATHER	-1	-1	0	5	0	4
22	HUSBAND	OLD MAN	1	-1	8	2	0	15
23	HUSBAND	MASTER	1	-1	4	0	0	2
24	HUSBAND	MARRY	1	-1	12	3	0	3
25	MARRY	TAKE	-1	-1	0	8	0	2
26	FATHER	PARENTS	1	1	21	0	3	0
27	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	2	0
28	MOTHER	OLD WOMAN	1	1	6	0	2	0
29	GRANDFATHER	OLD MAN	1	1	4	3	4	0
30	GRANDFATHER	ANCESTORS	1	1	17	2	5	0
31	GRANDMOTHER	OLD WOMAN	-1	1	7	8	3	0
32	FAMILY	HOUSE	-1	-1	0	12	0	3
33	FIN	WING	-1	-1	5	12	0	4
34	BACK	BEHIND	1	1	12	2	2	0
35	HEAD	MIND	1	1	6	0	4	0
36	HEAD	TOP	1	1	4	3	3	0
37	HEART	MIND	1	1	4	3	4	0
38	INTESTINES	SAUSAGE	1	1	6	3	3	0
39	BUTTOCKS	BOTTOM	-1	-1	0	4	1	2
40	RISE (MOVE UPWARDS)	GO UP (ASCEND)	-1	-1	9	10	0	3
41	RISE (MOVE UPWARDS)	GO OUT	1	-1	4	0	0	4
42	PREGNANT	HEAVY	-1	-1	0	4	0	6
43	SEEM	SEE	-1	-1	0	4	0	2
44	FEVER	HOT	-1	-1	3	9	0	3
45	COMMON COLD (DISEASE)	COLD	-1	-1	2	8	0	4
46	BRUISE	BLUE	-1	-1	0	5	0	3
47	UNRIPE	GREEN	1	-1	4	3	0	6
48	POTATO	SWEET POTATO	-1	-1	4	6	0	2
49	DRAW MILK	SQUEEZE	-1	-1	0	6	0	4
50	DWELL (LIVE, RESIDE)	SIT	1	-1	4	2	0	6
51	UNTIE	LET GO OR SET FREE	-1	1	3	4	2	0
52	TOOL	WEAPONS	1	1	5	0	2	0
53	SILVER	MONEY	-1	1	3	7	17	6
54	THROW	SHOOT	1	1	4	0	6	0
55	LEAVE	DISAPPEAR	1	1	4	0	2	0
56	LEAD (GUIDE)	RULE	1	1	4	0	3	0
57	FIND	SEE	-1	-1	0	6	0	5
58	AFTER	BEHIND	0	-1	9	9	0	2
59	BIG	THICK	1	-1	4	0	1	2
60	SMALL	YOUNG	1	1	4	2	3	0
61	LONG	TALL	1	1	4	2	2	0
62	LONG	FOR A LONG TIME	1	1	10	0	2	0
63	STRAIGHT	CORRECT (RIGHT)	1	1	4	3	5	0
64	EARLY	MORNING	-1	1	8	10	2	1
65	FAST	SOON	1	1	5	3	2	0
66	MORNING	TOMORROW	-1	1	4	5	4	0
67	YEAR	SUMMER	1	-1	5	0	1	3
68	HOUR	CLOCK	-1	1	5	6	4	0
69	WEEK	SUNDAY	1	-1	11	2	0	6
70	SMELL (STINK)	STINKING	-1	1	7	9	3	0
71	SMELL (PERCEIVE)	LISTEN	-1	-1	0	4	0	2
72	TASTE (SOMETHING)	TRY	-1	1	2	5	2	1
73	LOVE	WANT	-1	1	3	5	3	1
74	GOOD	BEAUTIFUL	1	-1	20	3	0	4
75	READ	SING	1	-1	4	0	0	4
76	READ	SPEAK	-1	1	0	10	2	0
77	SHOUT	CALL	1	1	6	4	3	0
78	SPEECH	WORD	-1	-1	2	10	0	8
79	ASK (INQUIRE)	ASK (REQUEST)	-1	-1	2	6	0	2
80	ASK (REQUEST)	PRAY	1	1	8	0	7	2
81	PAPER	BOOK	1	1	8	0	3	0
