Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	HEART	LUNG	1	1	2	0	2	0
2	LIVER	LUNG	1	1	4	0	8	3
3	NOSE	NOSTRIL	1	1	37	0	2	0
4	SEA	SAIL	1	1	2	0	3	0
5	FOREST	HUNT	1	1	7	0	2	0
6	SUN	DAY (NOT NIGHT)	-1	-1	6	8	5	24
7	SUN	SUNDAY	1	1	9	0	4	0
8	MOON	MONTH	0	1	5	5	6	0
9	WIND	SAILCLOTH	1	1	2	0	2	0
10	HUSBAND	FATHER	0	-1	2	2	0	2
11	HUSBAND	MARRY	1	-1	12	3	1	2
12	FATHER	PARENTS	1	1	21	0	6	0
13	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	3	0
14	FATHER	ANCESTORS	1	1	8	0	5	0
15	ANIMAL	FUR	1	-1	5	0	0	2
16	DOG	SHARK	1	1	3	0	3	0
17	BEAR	FUR	1	-1	2	0	0	2
18	SNAKE	FRESHWATER EEL	1	1	7	0	3	0
19	FROG	TURTLE	1	1	4	0	4	1
20	BLOOD	RED	1	1	8	0	4	2
21	EYE	SUN	1	1	4	0	2	0
22	TONGUE	SPLEEN	1	1	3	0	2	0
23	SHOULDER	SHOULDERBLADE	1	1	17	0	3	0
24	HEART	BRAVE	1	1	6	0	4	0
25	LUNG	LIGHT (WEIGHT)	-1	-1	0	3	0	7
26	SLEEP	BED	1	1	10	0	2	0
27	PREGNANT	HEAVY	-1	-1	0	4	0	3
28	PREGNANT	CARRY	-1	-1	0	3	0	2
29	SEIZE	UNDERSTAND	1	1	2	0	2	0
30	FEVER	HOT	-1	-1	3	9	0	2
31	BRUISE	BLUE	-1	-1	0	5	0	2
32	POTATO	SWEET POTATO	-1	-1	4	6	0	4
33	BELT	RAINBOW	1	1	2	0	3	0
34	HOUSE	WIFE	1	1	3	0	2	0
35	HOUSE	HUSBAND	1	1	5	0	2	0
36	HOUSE	MARRY	1	1	3	0	3	0
37	DOOR	WINDOW	1	1	10	0	2	0
38	GRASS	GREEN	0	1	2	2	2	0
39	PLANT (VEGETATION)	GREEN	1	-1	2	0	1	2
40	LEAF	GREEN	1	1	2	0	2	0
41	SELL	GIVE	-1	-1	0	4	0	2
42	GOLD	MONEY	-1	-1	2	3	0	3
43	GOLD	YELLOW	-1	-1	0	3	0	7
44	SILVER	MONEY	-1	-1	3	7	2	6
45	SAIL	SAILCLOTH	-1	-1	2	5	0	3
46	JUMP	DANCE	1	1	5	0	3	0
47	SHIP	SAIL	1	1	8	0	3	0
48	OAR	ROW	-1	1	5	6	2	0
49	BIG	THUMB	1	1	17	0	4	0
50	FIRST	MONDAY	1	1	2	0	6	0
51	DAY (NOT NIGHT)	GUARD	1	1	2	0	2	0
52	DAY (NOT NIGHT)	TODAY	1	1	23	0	3	0
53	MORNING	TOMORROW	-1	1	4	5	5	2
54	HOUR	CLOCK	-1	1	5	6	2	0
55	SEE	MIRROR	1	1	2	0	2	0
56	WHITE	SILVER	1	1	7	0	4	0
57	BLACK	PRIEST	1	1	2	0	2	0
58	GOOD	BEAUTIFUL	1	1	20	3	2	0
59	SING	ROOSTER	1	1	2	0	2	0
60	SHIELD	TURTLE	1	1	2	0	2	0
