Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	12	2	8	0
2	SUN	CLOCK	1	1	10	0	7	0
3	CLOUD	SKY	-1	1	2	14	2	1
4	LAND	FLOOR	1	1	6	4	2	0
5	EARTH (SOIL)	COUNTRY	1	1	5	2	12	0
6	NOSE	CAPE	1	1	5	0	4	0
7	NOSE	NOSTRIL	1	1	37	0	4	0
8	NOSE	BEAK	1	1	4	0	4	0
9	TREE	PLANT (VEGETATION)	-1	1	5	6	6	0
10	SKY	WEATHER	1	1	5	2	2	0
11	SUN	DAY (NOT NIGHT)	-1	1	6	8	10	5
12	MOON	MONTH	0	1	5	5	71	0
13	RAINBOW	BOW	-1	-1	0	5	0	3
14	SHADE	GHOST	1	1	4	2	2	0
15	WEATHER	TIME	-1	-1	0	4	0	3
16	GLASS	MIRROR	1	1	4	2	3	2
17	FIRE	HELL	1	1	15	0	2	0
18	LIGHT (IGNITE)	SHOOT	-1	1	0	3	2	0
19	WOMAN	WIFE	1	1	10	9	5	3
20	MALE (OF ANIMAL)	FATHER	-1	-1	0	5	0	4
21	HUSBAND	OLD MAN	1	-1	8	2	0	15
22	HUSBAND	MARRY	1	-1	12	3	0	3
23	MARRY	TAKE	-1	-1	0	8	0	2
24	FATHER	PARENTS	1	1	21	0	3	0
25	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	2	0
26	MOTHER	OLD WOMAN	1	1	6	0	2	0
27	GRANDFATHER	OLD MAN	1	1	4	3	4	0
28	GRANDFATHER	ANCESTORS	1	1	17	2	5	0
29	OLD MAN	ANCESTORS	1	1	3	0	2	0
30	GRANDMOTHER	OLD WOMAN	-1	1	7	8	3	0
31	FAMILY	HOUSE	-1	-1	0	12	0	3
32	ANIMAL	MEAT	0	-1	3	3	0	5
33	FIN	WING	-1	-1	5	12	0	4
34	TAIL	END (OF SPACE)	1	1	2	0	2	1
35	BACK	SHOULDER	1	-1	2	0	0	2
36	BACK	BEHIND	1	1	12	2	2	0
37	HEAD	MIND	1	1	6	0	4	0
38	BRAIN	MIND	0	1	3	3	3	0
39	MOUTH	LANGUAGE	-1	1	2	3	3	0
40	MOUTH	HOLE	1	1	3	0	7	0
41	FOOTPRINT	ROAD	-1	1	0	3	3	0
42	HEART	MIND	1	1	4	3	4	0
43	INTESTINES	SAUSAGE	1	1	6	3	3	0
44	BUTTOCKS	BOTTOM	-1	-1	0	4	1	2
45	SLEEP	COPULATE	1	1	2	0	3	0
46	BE BORN	GO OUT	1	-1	2	0	0	5
47	PREGNANT	HEAVY	-1	-1	0	4	0	6
48	PREGNANT	CARRY	-1	-1	0	3	0	3
49	SEEM	SEE	-1	-1	0	4	0	2
50	BURY	HIDE (CONCEAL)	1	-1	2	0	1	3
51	FEVER	HOT	-1	-1	3	9	0	3
52	BRUISE	BLUE	-1	-1	0	5	0	3
53	RAW	WET	1	-1	2	0	0	2
54	UNRIPE	GREEN	1	-1	4	3	0	6
55	POTATO	SWEET POTATO	-1	-1	4	6	0	2
56	RING	CIRCLE	-1	-1	0	3	0	2
57	DWELL (LIVE, RESIDE)	SIT	1	-1	4	2	0	6
58	ARCH	BOW	-1	1	0	3	2	1
59	SOW SEEDS	THROW	-1	-1	0	3	0	3
60	UNTIE	EXPLAIN	1	1	2	0	7	0
61	BUILD	LIFT	1	-1	2	0	0	3
62	GOLD	MONEY	-1	1	2	3	3	0
63	SILVER	MONEY	-1	1	3	7	17	6
64	THROW	SHOOT	1	1	4	0	6	0
65	THROW	LEAVE	1	1	2	0	5	0
66	GO UP (ASCEND)	GO OUT	1	-1	2	0	0	3
67	TAKE	BUY	0	1	3	3	5	0
68	LEAD (GUIDE)	RULE	1	1	4	0	3	0
69	FIND	SEE	-1	-1	0	6	0	5
70	MARKET	SUNDAY	1	1	3	0	3	1
71	AFTER	BEHIND	0	-1	9	9	0	2
72	LOW	DEEP	-1	1	0	2	2	0
73	BIG	THICK	1	-1	4	0	1	2
74	SMALL	THIN (OF SHAPE OF OBJECT)	1	-1	3	0	0	2
75	SMALL	YOUNG	1	1	4	2	3	0
76	LONG	FOR A LONG TIME	1	1	10	0	2	0
77	STRAIGHT	CORRECT (RIGHT)	1	1	4	3	5	0
78	EARLY	MORNING	-1	1	8	10	2	1
79	MORNING	TOMORROW	-1	1	4	5	4	0
80	TOMORROW	YESTERDAY	0	-1	2	2	0	2
81	YEAR	WINTER	1	-1	3	2	0	2
82	YEAR	SUMMER	1	-1	5	0	1	3
83	HOUR	CLOCK	-1	1	5	6	4	0
84	WEEK	SUNDAY	1	-1	11	2	0	6
85	SEE	MEET	1	1	3	0	3	0
86	HARD	DIFFICULT	1	1	3	0	2	0
87	SOUL	GHOST	1	1	3	0	2	0
88	LOVE	WANT	-1	1	3	5	3	1
89	GOOD	BEAUTIFUL	1	-1	20	3	0	4
90	LEARN	READ	1	-1	2	0	1	4
91	READ	SING	1	-1	4	0	0	4
92	READ	SPEAK	-1	1	0	10	2	0
93	SPEECH	WORD	-1	-1	2	10	0	8
94	PAPER	BOOK	1	1	8	0	3	0
95	COUNTRY	VILLAGE	1	1	3	0	2	0
