Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	12	2	8	0
2	SUN	CLOCK	1	1	10	0	7	0
3	CLOUD	SKY	-1	1	2	14	2	1
4	LAND	FLOOR	1	1	6	4	2	0
5	EARTH (SOIL)	COUNTRY	1	1	5	2	12	0
6	NOSE	CAPE	1	1	5	0	4	0
7	NOSE	NOSTRIL	1	1	37	0	4	0
8	NOSE	BEAK	1	1	4	0	4	0
9	TREE	PLANT (VEGETATION)	-1	1	5	6	6	0
10	SKY	WEATHER	1	1	5	2	2	0
11	SUN	DAY (NOT NIGHT)	-1	1	6	8	10	5
12	MOON	MONTH	0	1	5	5	71	0
13	RAINBOW	BOW	-1	-1	0	5	0	3
14	SHADE	GHOST	1	1	4	2	2	0
15	WEATHER	TIME	-1	-1	0	4	0	3
16	GLASS	MIRROR	1	1	4	2	3	2
17	FIRE	HELL	1	1	15	0	2	0
18	LIGHT (IGNITE)	SHOOT	-1	1	0	3	2	0
19	WOMAN	WIFE	1	1	10	9	5	3
20	MALE (OF ANIMAL)	FATHER	-1	-1	0	5	0	4
21	HUSBAND	OLD MAN	1	-1	8	2	0	15
22	HUSBAND	MARRY	1	-1	12	3	0	3
23	MARRY	TAKE	-1	-1	0	8	0	2
24	FATHER	PARENTS	1	1	21	0	3	0
25	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	2	0
26	MOTHER	OLD WOMAN	1	1	6	0	2	0
27	GRANDFATHER	OLD MAN	1	1	4	3	4	0
28	GRANDFATHER	ANCESTORS	1	1	17	2	5	0
29	OLD MAN	ANCESTORS	1	1	3	0	2	0
30	GRANDMOTHER	OLD WOMAN	-1	1	7	8	3	0
31	FAMILY	HOUSE	-1	-1	0	12	0	3
32	ANIMAL	MEAT	0	-1	3	3	0	5
33	FIN	WING	-1	-1	5	12	0	4
34	BACK	BEHIND	1	1	12	2	2	0
35	HEAD	MIND	1	1	6	0	4	0
36	BRAIN	MIND	0	1	3	3	3	0
37	MOUTH	LANGUAGE	-1	1	2	3	3	0
38	MOUTH	HOLE	1	1	3	0	7	0
39	FOOTPRINT	ROAD	-1	1	0	3	3	0
40	HEART	MIND	1	1	4	3	4	0
41	INTESTINES	SAUSAGE	1	1	6	3	3	0
42	BUTTOCKS	BOTTOM	-1	-1	0	4	1	2
43	PREGNANT	HEAVY	-1	-1	0	4	0	6
44	PREGNANT	CARRY	-1	-1	0	3	0	3
45	SEEM	SEE	-1	-1	0	4	0	2
46	FEVER	HOT	-1	-1	3	9	0	3
47	BRUISE	BLUE	-1	-1	0	5	0	3
48	UNRIPE	GREEN	1	-1	4	3	0	6
49	POTATO	SWEET POTATO	-1	-1	4	6	0	2
50	RING	CIRCLE	-1	-1	0	3	0	2
51	DWELL (LIVE, RESIDE)	SIT	1	-1	4	2	0	6
52	ARCH	BOW	-1	1	0	3	2	1
53	SOW SEEDS	THROW	-1	-1	0	3	0	3
54	GOLD	MONEY	-1	1	2	3	3	0
55	SILVER	MONEY	-1	1	3	7	17	6
56	THROW	SHOOT	1	1	4	0	6	0
57	TAKE	BUY	0	1	3	3	5	0
58	LEAD (GUIDE)	RULE	1	1	4	0	3	0
59	FIND	SEE	-1	-1	0	6	0	5
60	MARKET	SUNDAY	1	1	3	0	3	1
61	AFTER	BEHIND	0	-1	9	9	0	2
62	BIG	THICK	1	-1	4	0	1	2
63	SMALL	THIN (OF SHAPE OF OBJECT)	1	-1	3	0	0	2
64	SMALL	YOUNG	1	1	4	2	3	0
65	LONG	FOR A LONG TIME	1	1	10	0	2	0
66	STRAIGHT	CORRECT (RIGHT)	1	1	4	3	5	0
67	EARLY	MORNING	-1	1	8	10	2	1
68	MORNING	TOMORROW	-1	1	4	5	4	0
69	YEAR	WINTER	1	-1	3	2	0	2
70	YEAR	SUMMER	1	-1	5	0	1	3
71	HOUR	CLOCK	-1	1	5	6	4	0
72	WEEK	SUNDAY	1	-1	11	2	0	6
73	SEE	MEET	1	1	3	0	3	0
74	HARD	DIFFICULT	1	1	3	0	2	0
75	SOUL	GHOST	1	1	3	0	2	0
76	LOVE	WANT	-1	1	3	5	3	1
77	GOOD	BEAUTIFUL	1	-1	20	3	0	4
78	READ	SING	1	-1	4	0	0	4
79	READ	SPEAK	-1	1	0	10	2	0
80	SPEECH	WORD	-1	-1	2	10	0	8
81	PAPER	BOOK	1	1	8	0	3	0
82	COUNTRY	VILLAGE	1	1	3	0	2	0
