Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	12	2	8	0
2	SUN	CLOCK	1	1	10	0	7	0
3	LIVER	LUNG	1	1	4	0	3	0
4	CLOUD	SKY	-1	1	2	14	2	1
5	LAND	FLOOR	1	1	6	4	2	0
6	LAND	BOTTOM	1	1	4	0	2	0
7	EARTH (SOIL)	COUNTRY	1	1	5	2	12	0
8	NOSE	CAPE	1	1	5	0	4	0
9	NOSE	NOSTRIL	1	1	37	0	4	0
10	NOSE	BEAK	1	1	4	0	4	0
11	SAP	MILK	0	-1	3	3	0	3
12	TREE	PLANT (VEGETATION)	-1	1	5	6	6	0
13	SKY	WEATHER	1	1	5	2	2	0
14	SUN	DAY (NOT NIGHT)	-1	1	6	8	10	5
15	SUN	SUNDAY	1	1	9	0	3	0
16	MOON	MONTH	0	1	5	5	71	0
17	RAINBOW	BOW	-1	-1	0	5	0	3
18	SHADE	GHOST	1	1	4	2	2	0
19	WEATHER	TIME	-1	-1	0	4	0	3
20	GLASS	MIRROR	1	1	4	2	3	2
21	FIRE	SHOOT	1	1	3	0	4	0
22	FIRE	HELL	1	1	15	0	2	0
23	LIGHT (IGNITE)	SHOOT	-1	1	0	3	2	0
24	WOMAN	COW	1	-1	8	0	0	3
25	WOMAN	WIFE	1	1	10	9	5	3
26	WIFE	OLD WOMAN	1	-1	10	0	0	4
27	MALE (OF ANIMAL)	FATHER	-1	-1	0	5	0	4
28	HUSBAND	OLD MAN	1	-1	8	2	0	15
29	HUSBAND	MARRY	1	-1	12	3	0	3
30	MARRY	TAKE	-1	-1	0	8	0	2
31	FATHER	PARENTS	1	1	21	0	3	0
32	FATHER	OLD MAN	1	-1	8	0	0	4
33	FATHER	GOD	1	1	6	0	4	0
34	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	2	0
35	FATHER	ANCESTORS	1	1	8	0	8	0
36	MOTHER	OLD WOMAN	1	1	6	0	2	0
37	GRANDFATHER	OLD MAN	1	1	4	3	4	0
38	GRANDFATHER	ANCESTORS	1	1	17	2	5	0
39	OLD MAN	ANCESTORS	1	1	3	0	2	0
40	GRANDMOTHER	OLD WOMAN	-1	1	7	8	3	0
41	FAMILY	HOUSE	-1	-1	0	12	0	3
42	ANIMAL	MEAT	0	-1	3	3	0	5
43	FIN	WING	-1	-1	5	12	0	4
44	BACK	BEHIND	1	1	12	2	2	0
45	HEAD	MIND	1	1	6	0	4	0
46	HEAD	ROOF	1	1	5	0	2	0
47	BRAIN	MIND	0	1	3	3	3	0
48	MOUTH	LANGUAGE	-1	1	2	3	3	0
49	MOUTH	HOLE	1	1	3	0	7	0
50	FOOTPRINT	ROAD	-1	1	0	3	3	0
51	HEART	BRAVE	1	1	6	0	2	0
52	HEART	MIND	1	1	4	3	4	0
53	INTESTINES	SAUSAGE	1	1	6	3	3	0
54	BUTTOCKS	BOTTOM	-1	-1	0	4	1	2
55	PREGNANT	HEAVY	-1	-1	0	4	0	6
56	PREGNANT	CARRY	-1	-1	0	3	0	3
57	SEEM	SEE	-1	-1	0	4	0	2
58	FEVER	HOT	-1	-1	3	9	0	3
59	BRUISE	BLUE	-1	-1	0	5	0	3
60	UNRIPE	GREEN	1	-1	4	3	0	6
61	POTATO	SWEET POTATO	-1	-1	4	6	0	2
62	RING	CIRCLE	-1	-1	0	3	0	2
63	DWELL (LIVE, RESIDE)	SIT	1	-1	4	2	0	6
64	HOUSE	WIFE	1	1	3	0	2	0
65	ARCH	BOW	-1	1	0	3	2	1
66	SOW SEEDS	THROW	-1	-1	0	3	0	3
67	GOLD	MONEY	-1	1	2	3	3	0
68	SILVER	MONEY	-1	1	3	7	17	6
69	BASKET	BEEHIVE	1	1	3	0	2	0
70	THROW	SHOOT	1	1	4	0	6	0
71	JUMP	DANCE	1	1	5	0	4	0
72	TAKE	BUY	0	1	3	3	5	0
73	LEAD (GUIDE)	RULE	1	1	4	0	3	0
74	FIND	SEE	-1	-1	0	6	0	5
75	MARKET	SUNDAY	1	1	3	0	3	1
76	AFTER	BEHIND	0	-1	9	9	0	2
77	INSIDE	HEART	1	-1	3	0	0	2
78	PUT	BURY	1	1	4	0	2	0
79	OPEN	EXPLAIN	1	1	3	0	2	0
80	BIG	THICK	1	-1	4	0	1	2
81	SMALL	THIN (OF SHAPE OF OBJECT)	1	-1	3	0	0	2
82	SMALL	YOUNG	1	1	4	2	3	0
83	LONG	FOR A LONG TIME	1	1	10	0	2	0
84	STRAIGHT	CORRECT (RIGHT)	1	1	4	3	5	0
85	EMPTY	NAKED	1	-1	5	0	0	2
