Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
86	EARLY	MORNING	-1	1	8	10	2	1
87	MORNING	TOMORROW	-1	1	4	5	4	0
88	YEAR	WINTER	1	-1	3	2	0	2
89	YEAR	SUMMER	1	-1	5	0	1	3
90	HOUR	CLOCK	-1	1	5	6	4	0
91	WEEK	SUNDAY	1	-1	11	2	0	6
92	SEE	MEET	1	1	3	0	3	0
93	HARD	DIFFICULT	1	1	3	0	2	0
94	SOUL	GHOST	1	1	3	0	2	0
95	LOVE	WANT	-1	1	3	5	3	1
96	GOOD	BEAUTIFUL	1	-1	20	3	0	4
97	READ	SING	1	-1	4	0	0	4
98	READ	SPEAK	-1	1	0	10	2	0
99	CAUSE	LEAD (GUIDE)	1	-1	3	0	0	3
100	SPEAK	PROMISE	1	1	6	0	3	0
101	SPEECH	WORD	-1	-1	2	10	0	8
102	PAPER	BOOK	1	1	8	0	3	0
103	COUNTRY	VILLAGE	1	1	3	0	2	0
